County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
01 - Alameda,10/14/2013,In Review,"$50,890,315.00 ",44,Bay Area Counties
01 - Alameda,10/14/2013,Pending Construction,"$840,242,543.36 ",125,Bay Area Counties
01 - Alameda,10/14/2013,In Construction,"$994,245,713.95 ",181,Bay Area Counties
01 - Alameda,10/14/2013,In Closure,"$65,337,613.88 ",82,Bay Area Counties
02 - Alpine,10/14/2013,In Review,$0.00 ,0,
02 - Alpine,10/14/2013,Pending Construction,$0.00 ,0,
02 - Alpine,10/14/2013,In Construction,$0.00 ,0,
02 - Alpine,10/14/2013,In Closure,$0.00 ,0,
03 - Amador,10/14/2013,In Review,"$1,610,809.00 ",2,
03 - Amador,10/14/2013,Pending Construction,$0.00 ,0,
03 - Amador,10/14/2013,In Construction,"$1,793,567.00 ",9,
03 - Amador,10/14/2013,In Closure,$0.00 ,0,
04 - Butte,10/14/2013,In Review,"$6,231,107.00 ",11,
04 - Butte,10/14/2013,Pending Construction,"$2,137,000.00 ",6,
04 - Butte,10/14/2013,In Construction,"$91,178,383.00 ",16,
04 - Butte,10/14/2013,In Closure,"$717,911.00 ",5,
05 - Calaveras,10/14/2013,In Review,$0.00 ,0,
05 - Calaveras,10/14/2013,Pending Construction,"$42,500.00 ",1,
05 - Calaveras,10/14/2013,In Construction,$0.00 ,0,
05 - Calaveras,10/14/2013,In Closure,"$177,991.00 ",2,
06 - Colusa,10/14/2013,In Review,"$16,951.00 ",2,
06 - Colusa,10/14/2013,Pending Construction,"$25,000.00 ",1,
06 - Colusa,10/14/2013,In Construction,$0.00 ,0,
06 - Colusa,10/14/2013,In Closure,$0.00 ,0,
07 - Contra Costa,10/14/2013,In Review,"$19,079,779.00 ",29,Bay Area Counties
07 - Contra Costa,10/14/2013,Pending Construction,"$19,570,172.00 ",43,Bay Area Counties
07 - Contra Costa,10/14/2013,In Construction,"$40,655,626.98 ",56,Bay Area Counties
07 - Contra Costa,10/14/2013,In Closure,$0.00 ,18,Bay Area Counties
08 - Del Norte,10/14/2013,In Review,$0.00 ,0,
08 - Del Norte,10/14/2013,Pending Construction,$0.00 ,0,
08 - Del Norte,10/14/2013,In Construction,"$6,763,431.00 ",5,
08 - Del Norte,10/14/2013,In Closure,"$262,211.00 ",1,
09 - El Dorado,10/14/2013,In Review,"$11,759,315.00 ",6,Greater Sacramento Counties
09 - El Dorado,10/14/2013,Pending Construction,"$38,333.00 ",2,Greater Sacramento Counties
09 - El Dorado,10/14/2013,In Construction,"$12,111,964.00 ",5,Greater Sacramento Counties
09 - El Dorado,10/14/2013,In Closure,"$23,367,713.00 ",4,Greater Sacramento Counties
10 - Fresno,10/14/2013,In Review,"$38,459,929.71 ",38,
10 - Fresno,10/14/2013,Pending Construction,"$9,531,967.00 ",33,
10 - Fresno,10/14/2013,In Construction,"$242,098,251.92 ",81,
10 - Fresno,10/14/2013,In Closure,"$16,751,272.37 ",93,
11 - Glenn,10/14/2013,In Review,$0.00 ,0,
11 - Glenn,10/14/2013,Pending Construction,$0.00 ,0,
11 - Glenn,10/14/2013,In Construction,"$224,685.00 ",1,
11 - Glenn,10/14/2013,In Closure,"$10,000.00 ",1,
12 - Humboldt,10/14/2013,In Review,"$5,415,000.00 ",8,
12 - Humboldt,10/14/2013,Pending Construction,"$1,456,000.00 ",6,
12 - Humboldt,10/14/2013,In Construction,"$88,258,714.00 ",16,
12 - Humboldt,10/14/2013,In Closure,"$727,801.00 ",5,
13 - Imperial,10/14/2013,In Review,"$6,035,000.00 ",2,
13 - Imperial,10/14/2013,Pending Construction,"$81,500.00 ",3,
13 - Imperial,10/14/2013,In Construction,"$348,000.00 ",3,
13 - Imperial,10/14/2013,In Closure,"$558,903.00 ",3,
14 - Inyo,10/14/2013,In Review,$250.00 ,1,
14 - Inyo,10/14/2013,Pending Construction,"$39,653.00 ",1,
14 - Inyo,10/14/2013,In Construction,"$12,300.00 ",3,
14 - Inyo,10/14/2013,In Closure,"$41,277,251.54 ",3,
15 - Kern,10/14/2013,In Review,"$7,493,774.00 ",23,
15 - Kern,10/14/2013,Pending Construction,"$1,090,399.00 ",11,
15 - Kern,10/14/2013,In Construction,"$67,605,422.00 ",35,
15 - Kern,10/14/2013,In Closure,"$18,268,694.66 ",41,
16 - Kings,10/14/2013,In Review,"$395,000.00 ",6,
16 - Kings,10/14/2013,Pending Construction,"$28,480,000.00 ",7,
16 - Kings,10/14/2013,In Construction,"$238,722.00 ",5,
16 - Kings,10/14/2013,In Closure,"$735,634.13 ",13,
17 - Lake,10/14/2013,In Review,"$243,000.00 ",2,
17 - Lake,10/14/2013,Pending Construction,"$69,500.00 ",2,
17 - Lake,10/14/2013,In Construction,"$5,716,410.23 ",16,
17 - Lake,10/14/2013,In Closure,"$22,628.04 ",1,
18 - Lassen,10/14/2013,In Review,"$326,000.00 ",1,
18 - Lassen,10/14/2013,Pending Construction,"$145,120.00 ",1,
18 - Lassen,10/14/2013,In Construction,"$1,164,643.00 ",9,
18 - Lassen,10/14/2013,In Closure,$0.00 ,0,
19 - Los Angeles,10/14/2013,In Review,"$542,343,590.05 ",432,Greater Los Angeles Counties
19 - Los Angeles,10/14/2013,Pending Construction,"$238,024,223.82 ",562,Greater Los Angeles Counties
19 - Los Angeles,10/14/2013,In Construction,"$2,339,840,925.53 ",843,Greater Los Angeles Counties
19 - Los Angeles,10/14/2013,In Closure,"$572,379,077.34 ",655,Greater Los Angeles Counties
20 - Madera,10/14/2013,In Review,"$695,954.00 ",1,
20 - Madera,10/14/2013,Pending Construction,"$864,400.00 ",2,
20 - Madera,10/14/2013,In Construction,"$4,080,108.00 ",20,
20 - Madera,10/14/2013,In Closure,"$16,551,457.52 ",25,
21 - Marin,10/14/2013,In Review,"$178,957,915.00 ",17,Bay Area Counties
21 - Marin,10/14/2013,Pending Construction,"$44,515,860.00 ",9,Bay Area Counties
21 - Marin,10/14/2013,In Construction,"$25,456,399.00 ",21,Bay Area Counties
21 - Marin,10/14/2013,In Closure,"$5,510,444.00 ",12,Bay Area Counties
22 - Mariposa,10/14/2013,In Review,$0.00 ,0,
22 - Mariposa,10/14/2013,Pending Construction,$0.00 ,0,
22 - Mariposa,10/14/2013,In Construction,$0.00 ,0,
22 - Mariposa,10/14/2013,In Closure,$0.00 ,0,
23 - Mendocino,10/14/2013,In Review,"$3,466,175.00 ",7,
23 - Mendocino,10/14/2013,Pending Construction,"$16,013,000.00 ",5,
23 - Mendocino,10/14/2013,In Construction,"$2,246,074.00 ",13,
23 - Mendocino,10/14/2013,In Closure,"$37,711,600.00 ",7,
24 - Merced,10/14/2013,In Review,"$192,185.20 ",5,
24 - Merced,10/14/2013,Pending Construction,"$237,500.00 ",3,
24 - Merced,10/14/2013,In Construction,"$12,965,854.00 ",4,
24 - Merced,10/14/2013,In Closure,"$343,375.00 ",5,
25 - Modoc,10/14/2013,In Review,$0.00 ,0,
25 - Modoc,10/14/2013,Pending Construction,"$12,500.00 ",1,
25 - Modoc,10/14/2013,In Construction,$0.00 ,0,
25 - Modoc,10/14/2013,In Closure,$0.00 ,0,
26 - Mono,10/14/2013,In Review,"$190,794.00 ",2,
26 - Mono,10/14/2013,Pending Construction,"$12,000.00 ",1,
26 - Mono,10/14/2013,In Construction,"$1,000.00 ",3,
26 - Mono,10/14/2013,In Closure,"$533,972.00 ",2,
27 - Monterey,10/14/2013,In Review,"$1,947,806.00 ",8,
27 - Monterey,10/14/2013,Pending Construction,"$1,683,276.00 ",14,
27 - Monterey,10/14/2013,In Construction,"$36,295,671.00 ",20,
27 - Monterey,10/14/2013,In Closure,"$4,661,443.06 ",20,
28 - Napa,10/14/2013,In Review,"$875,000.00 ",4,Bay Area Counties
28 - Napa,10/14/2013,Pending Construction,"$12,801,298.00 ",8,Bay Area Counties
28 - Napa,10/14/2013,In Construction,"$33,159,755.00 ",14,Bay Area Counties
28 - Napa,10/14/2013,In Closure,"$50,466,031.00 ",20,Bay Area Counties
29 - Nevada,10/14/2013,In Review,"$15,462,056.00 ",5,
29 - Nevada,10/14/2013,Pending Construction,"$3,819,556.00 ",4,
29 - Nevada,10/14/2013,In Construction,"$30,359,244.00 ",21,
29 - Nevada,10/14/2013,In Closure,$0.00 ,0,
30 - Orange,10/14/2013,In Review,"$83,171,304.66 ",98,Greater Los Angeles Counties
30 - Orange,10/14/2013,Pending Construction,"$33,930,898.33 ",121,Greater Los Angeles Counties
30 - Orange,10/14/2013,In Construction,"$285,215,772.13 ",133,Greater Los Angeles Counties
30 - Orange,10/14/2013,In Closure,"$319,888,695.16 ",191,Greater Los Angeles Counties
31 - Placer,10/14/2013,In Review,"$8,897,190.00 ",8,Greater Sacramento Counties
31 - Placer,10/14/2013,Pending Construction,"$817,754.00 ",5,Greater Sacramento Counties
31 - Placer,10/14/2013,In Construction,"$56,620,358.80 ",17,Greater Sacramento Counties
31 - Placer,10/14/2013,In Closure,"$76,386,793.61 ",17,Greater Sacramento Counties
32 - Plumas,10/14/2013,In Review,"$45,441.00 ",2,
32 - Plumas,10/14/2013,Pending Construction,"$83,000.00 ",2,
32 - Plumas,10/14/2013,In Construction,"$85,900.00 ",2,
32 - Plumas,10/14/2013,In Closure,$0.00 ,0,
33 - Riverside,10/14/2013,In Review,"$293,782,736.72 ",73,
33 - Riverside,10/14/2013,Pending Construction,"$135,174,446.00 ",70,
33 - Riverside,10/14/2013,In Construction,"$156,984,533.63 ",131,
33 - Riverside,10/14/2013,In Closure,"$185,873,741.27 ",110,
34 - Sacramento,10/14/2013,In Review,"$46,784,298.00 ",44,Greater Sacramento Counties
34 - Sacramento,10/14/2013,Pending Construction,"$92,122,260.00 ",35,Greater Sacramento Counties
34 - Sacramento,10/14/2013,In Construction,"$266,798,568.01 ",120,Greater Sacramento Counties
34 - Sacramento,10/14/2013,In Closure,"$110,752,565.40 ",51,Greater Sacramento Counties
35 - San Benito,10/14/2013,In Review,$0.00 ,0,
35 - San Benito,10/14/2013,Pending Construction,$0.00 ,0,
35 - San Benito,10/14/2013,In Construction,"$14,215,455.00 ",4,
35 - San Benito,10/14/2013,In Closure,"$12,923,440.00 ",3,
36 - San Bernardino,10/14/2013,In Review,"$681,245,056.53 ",43,
36 - San Bernardino,10/14/2013,Pending Construction,"$15,031,364.78 ",49,
36 - San Bernardino,10/14/2013,In Construction,"$200,656,402.25 ",112,
36 - San Bernardino,10/14/2013,In Closure,"$188,115,939.29 ",92,
37 - San Diego,10/14/2013,In Review,"$518,364,093.79 ",126,
37 - San Diego,10/14/2013,Pending Construction,"$110,693,790.34 ",96,
37 - San Diego,10/14/2013,In Construction,"$614,451,060.91 ",210,
37 - San Diego,10/14/2013,In Closure,"$452,164,178.97 ",235,
38 - San Francisco,10/14/2013,In Review,"$941,144,053.98 ",63,Bay Area Counties
38 - San Francisco,10/14/2013,Pending Construction,"$461,843,530.38 ",67,Bay Area Counties
38 - San Francisco,10/14/2013,In Construction,"$1,043,478,037.62 ",136,Bay Area Counties
38 - San Francisco,10/14/2013,In Closure,"$296,224,727.61 ",101,Bay Area Counties
39 - San Joaquin,10/14/2013,In Review,"$5,270,479.80 ",26,
39 - San Joaquin,10/14/2013,Pending Construction,"$91,068,070.80 ",30,
39 - San Joaquin,10/14/2013,In Construction,"$25,261,725.38 ",45,
39 - San Joaquin,10/14/2013,In Closure,"$17,414,916.84 ",15,
40 - San Luis Obispo,10/14/2013,In Review,"$2,891,415.00 ",11,
40 - San Luis Obispo,10/14/2013,Pending Construction,"$1,539,721.80 ",13,
40 - San Luis Obispo,10/14/2013,In Construction,"$4,706,570.10 ",15,
40 - San Luis Obispo,10/14/2013,In Closure,"$9,523,308.00 ",30,
41 - San Mateo,10/14/2013,In Review,"$76,750,622.16 ",28,Bay Area Counties
41 - San Mateo,10/14/2013,Pending Construction,"$36,040,138.96 ",32,Bay Area Counties
41 - San Mateo,10/14/2013,In Construction,"$329,339,610.94 ",67,Bay Area Counties
41 - San Mateo,10/14/2013,In Closure,"$59,086,232.01 ",42,Bay Area Counties
42 - Santa Barbara,10/14/2013,In Review,"$10,741,200.00 ",15,
42 - Santa Barbara,10/14/2013,Pending Construction,"$149,282,187.80 ",22,
42 - Santa Barbara,10/14/2013,In Construction,"$228,096,917.43 ",34,
42 - Santa Barbara,10/14/2013,In Closure,"$95,552,890.41 ",23,
43 - Santa Clara,10/14/2013,In Review,"$763,865,453.25 ",80,Bay Area Counties
43 - Santa Clara,10/14/2013,Pending Construction,"$178,505,703.77 ",71,Bay Area Counties
43 - Santa Clara,10/14/2013,In Construction,"$769,666,467.77 ",165,Bay Area Counties
43 - Santa Clara,10/14/2013,In Closure,"$91,227,844.85 ",141,Bay Area Counties
44 - Santa Cruz,10/14/2013,In Review,"$10,510,974.00 ",8,
44 - Santa Cruz,10/14/2013,Pending Construction,"$495,319.00 ",7,
44 - Santa Cruz,10/14/2013,In Construction,"$3,549,812.99 ",21,
44 - Santa Cruz,10/14/2013,In Closure,"$10,195,895.50 ",14,
45 - Shasta,10/14/2013,In Review,"$24,745,486.00 ",20,
45 - Shasta,10/14/2013,Pending Construction,"$1,481,187.00 ",13,
45 - Shasta,10/14/2013,In Construction,"$5,229,507.81 ",19,
45 - Shasta,10/14/2013,In Closure,"$9,154,279.00 ",3,
46 - Sierra,10/14/2013,In Review,$0.00 ,0,
46 - Sierra,10/14/2013,Pending Construction,$0.00 ,0,
46 - Sierra,10/14/2013,In Construction,$0.00 ,0,
46 - Sierra,10/14/2013,In Closure,$0.00 ,0,
47 - Siskiyou,10/14/2013,In Review,"$10,000.00 ",1,
47 - Siskiyou,10/14/2013,Pending Construction,"$726,700.00 ",3,
47 - Siskiyou,10/14/2013,In Construction,"$1,090,562.07 ",7,
47 - Siskiyou,10/14/2013,In Closure,"$60,000.00 ",2,
48 - Solano,10/14/2013,In Review,"$3,770,069.00 ",11,Bay Area Counties
48 - Solano,10/14/2013,Pending Construction,"$9,788,515.00 ",12,Bay Area Counties
48 - Solano,10/14/2013,In Construction,"$42,042,209.13 ",30,Bay Area Counties
48 - Solano,10/14/2013,In Closure,"$31,418,524.00 ",17,Bay Area Counties
49 - Sonoma,10/14/2013,In Review,"$31,381,318.60 ",14,Bay Area Counties
49 - Sonoma,10/14/2013,Pending Construction,"$6,376,395.00 ",24,Bay Area Counties
49 - Sonoma,10/14/2013,In Construction,"$132,633,275.30 ",45,Bay Area Counties
49 - Sonoma,10/14/2013,In Closure,"$32,737,034.30 ",18,Bay Area Counties
50 - Stanislaus,10/14/2013,In Review,"$24,530,158.00 ",18,
50 - Stanislaus,10/14/2013,Pending Construction,"$5,015,927.00 ",18,
50 - Stanislaus,10/14/2013,In Construction,"$65,346,519.66 ",39,
50 - Stanislaus,10/14/2013,In Closure,"$27,886,492.48 ",48,
51 - Sutter,10/14/2013,In Review,"$12,684,000.00 ",3,
51 - Sutter,10/14/2013,Pending Construction,"$52,033.00 ",3,
51 - Sutter,10/14/2013,In Construction,"$30,500.00 ",2,
51 - Sutter,10/14/2013,In Closure,"$23,000.00 ",1,
52 - Tehama,10/14/2013,In Review,"$359,700.00 ",2,
52 - Tehama,10/14/2013,Pending Construction,"$414,500.00 ",6,
52 - Tehama,10/14/2013,In Construction,"$1,809,800.00 ",4,
52 - Tehama,10/14/2013,In Closure,$0.00 ,0,
53 - Trinity,10/14/2013,In Review,"$8,200.00 ",2,
53 - Trinity,10/14/2013,Pending Construction,"$13,200.00 ",2,
53 - Trinity,10/14/2013,In Construction,"$313,838.00 ",1,
53 - Trinity,10/14/2013,In Closure,$0.00 ,0,
54 - Tulare,10/14/2013,In Review,"$33,777,068.00 ",16,
54 - Tulare,10/14/2013,Pending Construction,"$1,567,698.29 ",4,
54 - Tulare,10/14/2013,In Construction,"$83,883,087.00 ",11,
54 - Tulare,10/14/2013,In Closure,"$6,858,222.98 ",31,
55 - Tuolumne,10/14/2013,In Review,"$8,000.00 ",1,
55 - Tuolumne,10/14/2013,Pending Construction,"$1,007,100.00 ",6,
55 - Tuolumne,10/14/2013,In Construction,"$634,000.00 ",4,
55 - Tuolumne,10/14/2013,In Closure,"$1,203,773.91 ",14,
56 - Ventura,10/14/2013,In Review,"$235,177,920.66 ",35,Greater Los Angeles Counties
56 - Ventura,10/14/2013,Pending Construction,"$32,449,356.33 ",36,Greater Los Angeles Counties
56 - Ventura,10/14/2013,In Construction,"$375,407,499.00 ",65,Greater Los Angeles Counties
56 - Ventura,10/14/2013,In Closure,"$30,244,225.00 ",53,Greater Los Angeles Counties
57 - Yolo,10/14/2013,In Review,"$683,540.00 ",5,Greater Sacramento Counties
57 - Yolo,10/14/2013,Pending Construction,"$584,000.00 ",3,Greater Sacramento Counties
57 - Yolo,10/14/2013,In Construction,"$1,483,044.00 ",7,Greater Sacramento Counties
57 - Yolo,10/14/2013,In Closure,"$63,505.00 ",3,Greater Sacramento Counties
58 - Yuba,10/14/2013,In Review,"$31,461,706.50 ",1,
58 - Yuba,10/14/2013,Pending Construction,"$32,194,189.50 ",3,
58 - Yuba,10/14/2013,In Construction,"$68,363,126.00 ",5,
58 - Yuba,10/14/2013,In Closure,"$446,592.00 ",4,
01 - Alameda,10/15/2013,In Review,"$45,337,315.00 ",0,Bay Area Counties
01 - Alameda,10/15/2013,Pending Construction,"$795,141,978.61 ",0,Bay Area Counties
01 - Alameda,10/15/2013,In Construction,"$1,038,738,230.28 ",0,Bay Area Counties
01 - Alameda,10/15/2013,In Closure,"$72,859,816.67 ",0,Bay Area Counties
02 - Alpine,10/15/2013,In Review,$0.00 ,0,
02 - Alpine,10/15/2013,Pending Construction,$0.00 ,0,
02 - Alpine,10/15/2013,In Construction,$0.00 ,0,
02 - Alpine,10/15/2013,In Closure,$0.00 ,0,
03 - Amador,10/15/2013,In Review,"$1,610,809.00 ",0,
03 - Amador,10/15/2013,Pending Construction,$0.00 ,0,
03 - Amador,10/15/2013,In Construction,"$1,793,567.00 ",0,
03 - Amador,10/15/2013,In Closure,$0.00 ,0,
04 - Butte,10/15/2013,In Review,"$6,231,107.00 ",0,
04 - Butte,10/15/2013,Pending Construction,"$2,137,000.00 ",0,
04 - Butte,10/15/2013,In Construction,"$90,826,245.00 ",0,
04 - Butte,10/15/2013,In Closure,"$717,911.00 ",0,
05 - Calaveras,10/15/2013,In Review,$0.00 ,0,
05 - Calaveras,10/15/2013,Pending Construction,"$42,500.00 ",0,
05 - Calaveras,10/15/2013,In Construction,$0.00 ,0,
05 - Calaveras,10/15/2013,In Closure,"$177,991.00 ",0,
06 - Colusa,10/15/2013,In Review,"$16,951.00 ",0,
06 - Colusa,10/15/2013,Pending Construction,"$25,000.00 ",0,
06 - Colusa,10/15/2013,In Construction,$0.00 ,0,
06 - Colusa,10/15/2013,In Closure,$0.00 ,0,
07 - Contra Costa,10/15/2013,In Review,"$19,056,779.00 ",0,Bay Area Counties
07 - Contra Costa,10/15/2013,Pending Construction,"$19,027,672.00 ",0,Bay Area Counties
07 - Contra Costa,10/15/2013,In Construction,"$41,165,117.98 ",0,Bay Area Counties
07 - Contra Costa,10/15/2013,In Closure,$0.00 ,0,Bay Area Counties
08 - Del Norte,10/15/2013,In Review,$0.00 ,0,
08 - Del Norte,10/15/2013,Pending Construction,$0.00 ,0,
08 - Del Norte,10/15/2013,In Construction,"$6,763,431.00 ",0,
08 - Del Norte,10/15/2013,In Closure,"$262,211.00 ",0,
09 - El Dorado,10/15/2013,In Review,"$11,759,315.00 ",0,Greater Sacramento Counties
09 - El Dorado,10/15/2013,Pending Construction,"$12,500.00 ",0,Greater Sacramento Counties
09 - El Dorado,10/15/2013,In Construction,"$12,210,865.00 ",0,Greater Sacramento Counties
09 - El Dorado,10/15/2013,In Closure,"$23,367,713.00 ",0,Greater Sacramento Counties
10 - Fresno,10/15/2013,In Review,"$38,459,929.71 ",0,
10 - Fresno,10/15/2013,Pending Construction,"$9,783,040.00 ",0,
10 - Fresno,10/15/2013,In Construction,"$240,892,109.93 ",0,
10 - Fresno,10/15/2013,In Closure,"$17,700,341.37 ",0,
11 - Glenn,10/15/2013,In Review,$0.00 ,0,
11 - Glenn,10/15/2013,Pending Construction,$0.00 ,0,
11 - Glenn,10/15/2013,In Construction,"$224,685.00 ",0,
11 - Glenn,10/15/2013,In Closure,"$10,000.00 ",0,
12 - Humboldt,10/15/2013,In Review,"$5,415,000.00 ",0,
12 - Humboldt,10/15/2013,Pending Construction,"$1,456,000.00 ",0,
12 - Humboldt,10/15/2013,In Construction,"$88,258,714.00 ",0,
12 - Humboldt,10/15/2013,In Closure,"$727,801.00 ",0,
13 - Imperial,10/15/2013,In Review,"$6,035,000.00 ",0,
13 - Imperial,10/15/2013,Pending Construction,"$81,500.00 ",0,
13 - Imperial,10/15/2013,In Construction,"$98,000.00 ",0,
13 - Imperial,10/15/2013,In Closure,"$508,711.00 ",0,
14 - Inyo,10/15/2013,In Review,$250.00 ,0,
14 - Inyo,10/15/2013,Pending Construction,"$39,653.00 ",0,
14 - Inyo,10/15/2013,In Construction,"$12,300.00 ",0,
14 - Inyo,10/15/2013,In Closure,"$41,277,251.54 ",0,
15 - Kern,10/15/2013,In Review,"$7,601,774.00 ",0,
15 - Kern,10/15/2013,Pending Construction,"$1,112,399.00 ",0,
15 - Kern,10/15/2013,In Construction,"$67,616,522.00 ",0,
15 - Kern,10/15/2013,In Closure,"$18,080,038.90 ",0,
16 - Kings,10/15/2013,In Review,"$395,000.00 ",0,
16 - Kings,10/15/2013,Pending Construction,"$28,480,000.00 ",0,
16 - Kings,10/15/2013,In Construction,"$238,722.00 ",0,
16 - Kings,10/15/2013,In Closure,"$745,484.13 ",0,
17 - Lake,10/15/2013,In Review,"$243,000.00 ",0,
17 - Lake,10/15/2013,Pending Construction,"$69,500.00 ",0,
17 - Lake,10/15/2013,In Construction,"$5,716,410.23 ",0,
17 - Lake,10/15/2013,In Closure,"$22,628.04 ",0,
18 - Lassen,10/15/2013,In Review,"$326,000.00 ",0,
18 - Lassen,10/15/2013,Pending Construction,"$145,120.00 ",0,
18 - Lassen,10/15/2013,In Construction,"$1,164,643.00 ",0,
18 - Lassen,10/15/2013,In Closure,$0.00 ,0,
19 - Los Angeles,10/15/2013,In Review,"$540,770,258.05 ",0,Greater Los Angeles Counties
19 - Los Angeles,10/15/2013,Pending Construction,"$239,778,610.82 ",0,Greater Los Angeles Counties
19 - Los Angeles,10/15/2013,In Construction,"$2,339,586,619.94 ",0,Greater Los Angeles Counties
19 - Los Angeles,10/15/2013,In Closure,"$572,331,968.84 ",0,Greater Los Angeles Counties
20 - Madera,10/15/2013,In Review,"$695,954.00 ",0,
20 - Madera,10/15/2013,Pending Construction,"$864,400.00 ",0,
20 - Madera,10/15/2013,In Construction,"$4,080,108.00 ",0,
20 - Madera,10/15/2013,In Closure,"$16,550,933.52 ",0,
21 - Marin,10/15/2013,In Review,"$178,992,915.00 ",0,Bay Area Counties
21 - Marin,10/15/2013,Pending Construction,"$44,515,860.00 ",0,Bay Area Counties
21 - Marin,10/15/2013,In Construction,"$25,456,399.00 ",0,Bay Area Counties
21 - Marin,10/15/2013,In Closure,"$5,510,444.00 ",0,Bay Area Counties
22 - Mariposa,10/15/2013,In Review,$0.00 ,0,
22 - Mariposa,10/15/2013,Pending Construction,$0.00 ,0,
22 - Mariposa,10/15/2013,In Construction,$0.00 ,0,
22 - Mariposa,10/15/2013,In Closure,$0.00 ,0,
23 - Mendocino,10/15/2013,In Review,"$3,466,175.00 ",0,
23 - Mendocino,10/15/2013,Pending Construction,"$16,013,000.00 ",0,
23 - Mendocino,10/15/2013,In Construction,"$2,246,074.00 ",0,
23 - Mendocino,10/15/2013,In Closure,"$37,712,305.00 ",0,
24 - Merced,10/15/2013,In Review,"$235,585.20 ",0,
24 - Merced,10/15/2013,Pending Construction,"$242,700.00 ",0,
24 - Merced,10/15/2013,In Construction,"$12,965,854.00 ",0,
24 - Merced,10/15/2013,In Closure,"$343,375.00 ",0,
25 - Modoc,10/15/2013,In Review,$0.00 ,0,
25 - Modoc,10/15/2013,Pending Construction,"$12,500.00 ",0,
25 - Modoc,10/15/2013,In Construction,$0.00 ,0,
25 - Modoc,10/15/2013,In Closure,$0.00 ,0,
26 - Mono,10/15/2013,In Review,"$190,794.00 ",0,
26 - Mono,10/15/2013,Pending Construction,"$12,000.00 ",0,
26 - Mono,10/15/2013,In Construction,"$1,000.00 ",0,
26 - Mono,10/15/2013,In Closure,"$533,972.00 ",0,
27 - Monterey,10/15/2013,In Review,"$1,947,806.00 ",0,
27 - Monterey,10/15/2013,Pending Construction,"$1,483,276.00 ",0,
27 - Monterey,10/15/2013,In Construction,"$36,495,671.00 ",0,
27 - Monterey,10/15/2013,In Closure,"$4,702,554.37 ",0,
28 - Napa,10/15/2013,In Review,"$875,000.00 ",0,Bay Area Counties
28 - Napa,10/15/2013,Pending Construction,"$12,669,298.00 ",0,Bay Area Counties
28 - Napa,10/15/2013,In Construction,"$33,174,786.00 ",0,Bay Area Counties
28 - Napa,10/15/2013,In Closure,"$50,466,031.00 ",0,Bay Area Counties
29 - Nevada,10/15/2013,In Review,"$15,462,056.00 ",0,
29 - Nevada,10/15/2013,Pending Construction,"$3,819,556.00 ",0,
29 - Nevada,10/15/2013,In Construction,"$30,359,244.00 ",0,
29 - Nevada,10/15/2013,In Closure,$0.00 ,0,
30 - Orange,10/15/2013,In Review,"$83,331,304.66 ",0,Greater Los Angeles Counties
30 - Orange,10/15/2013,Pending Construction,"$33,524,508.33 ",0,Greater Los Angeles Counties
30 - Orange,10/15/2013,In Construction,"$285,715,762.13 ",0,Greater Los Angeles Counties
30 - Orange,10/15/2013,In Closure,"$320,051,599.16 ",0,Greater Los Angeles Counties
31 - Placer,10/15/2013,In Review,"$8,997,190.00 ",0,Greater Sacramento Counties
31 - Placer,10/15/2013,Pending Construction,"$830,754.00 ",0,Greater Sacramento Counties
31 - Placer,10/15/2013,In Construction,"$56,620,358.80 ",0,Greater Sacramento Counties
31 - Placer,10/15/2013,In Closure,"$76,386,793.61 ",0,Greater Sacramento Counties
32 - Plumas,10/15/2013,In Review,"$45,441.00 ",0,
32 - Plumas,10/15/2013,Pending Construction,"$83,000.00 ",0,
32 - Plumas,10/15/2013,In Construction,"$85,900.00 ",0,
32 - Plumas,10/15/2013,In Closure,$0.00 ,0,
33 - Riverside,10/15/2013,In Review,"$292,890,711.72 ",0,
33 - Riverside,10/15/2013,Pending Construction,"$134,080,694.00 ",0,
33 - Riverside,10/15/2013,In Construction,"$156,795,445.63 ",0,
33 - Riverside,10/15/2013,In Closure,"$55,607,832.27 ",0,
34 - Sacramento,10/15/2013,In Review,"$46,362,798.00 ",0,Greater Sacramento Counties
34 - Sacramento,10/15/2013,Pending Construction,"$92,401,957.00 ",0,Greater Sacramento Counties
34 - Sacramento,10/15/2013,In Construction,"$266,804,268.01 ",0,Greater Sacramento Counties
34 - Sacramento,10/15/2013,In Closure,"$110,708,820.40 ",0,Greater Sacramento Counties
35 - San Benito,10/15/2013,In Review,$0.00 ,0,
35 - San Benito,10/15/2013,Pending Construction,$0.00 ,0,
35 - San Benito,10/15/2013,In Construction,"$14,215,455.00 ",0,
35 - San Benito,10/15/2013,In Closure,"$252,000.00 ",0,
36 - San Bernardino,10/15/2013,In Review,"$681,040,776.53 ",0,
36 - San Bernardino,10/15/2013,Pending Construction,"$14,319,064.78 ",0,
36 - San Bernardino,10/15/2013,In Construction,"$200,765,105.25 ",0,
36 - San Bernardino,10/15/2013,In Closure,"$178,515,244.29 ",0,
37 - San Diego,10/15/2013,In Review,"$517,210,876.23 ",0,
37 - San Diego,10/15/2013,Pending Construction,"$104,650,104.66 ",0,
37 - San Diego,10/15/2013,In Construction,"$621,052,708.11 ",0,
