CreditScoreRangeLower,StatedMonthlyIncome,LoanOriginalAmount,LoanStatus,log_reg_score,lgbm_score,final_score,decision
-0.6856622748402706,-0.3368652479683857,0.17132979791910327,1,0.7602543159847501,0.779694485436105,0.7738624346006985,❌ Reject
-0.08377820922806092,0.06935418188776597,0.26333069196379094,1,0.8503218984075258,0.9095648323340042,0.8917919521560607,❌ Reject
-3.0931985372891093,-0.47041684133111483,-0.8565201905036333,1,0.37034108034916163,0.2776228272102829,0.30543830315194653,⚠️ Review
1.7218739876085682,-0.36468849654110375,0.26333069196379094,1,0.9392591047426512,0.9246066763663162,0.9290024048792167,❌ Reject
-0.08377820922806092,0.5312201088893538,1.0633384662654228,1,0.8773867449361825,0.9032861549772692,0.8955163319649431,❌ Reject
0.8190478891902536,0.36428061718594235,1.0633384662654228,1,0.9235080974272275,0.936307119887885,0.9324674131496877,❌ Reject
-0.08377820922806092,-0.47041684133111483,-0.8566801920584937,1,0.811813146702805,0.8117789445380466,0.811789205187474,❌ Reject
0.21716382357804392,-0.3004835680319717,0.26333069196379094,1,0.8545702491328477,0.9347164624441165,0.9106725984507359,❌ Reject
2.022816020414673,-0.3034773496277034,0.26333069196379094,1,0.9509733544798793,0.9396616132074171,0.9430551355891558,❌ Reject
2.022816020414673,-0.3034773496277034,0.26333069196379094,1,0.9509733544798793,0.9396616132074171,0.9430551355891558,❌ Reject
-0.6856622748402706,0.25298762276151854,0.8233361339749332,1,0.8080924714911331,0.8824255575990098,0.8601256317666467,❌ Reject
-0.6856622748402706,-0.526063338476551,-1.1766833017791463,1,0.7366768259396523,0.7845332122908316,0.7701762963854778,❌ Reject
-0.08377820922806092,-0.4258996434545041,-0.6966786371981672,0,0.8155642280177935,0.8549088985286536,0.8431054973753955,❌ Reject
0.8190478891902536,0.03040163377911939,0.02332835967330138,1,0.9097215097806592,0.903708770115205,0.9055125920148412,❌ Reject
0.8190478891902536,0.6981596005927653,1.7561451988106358,1,0.9347028086915068,0.9044383337810685,0.9135176762541999,❌ Reject
0.21716382357804392,-0.014115563963939738,-0.6966786371981672,0,0.8664685372707274,0.8548447735683643,0.8583319026790732,❌ Reject
-0.6856622748402706,0.35871596755152957,-0.6966786371981672,1,0.8083201932472689,0.8769007533221465,0.8563265852996831,❌ Reject
1.1199899219963585,0.03040163377911939,0.26333069196379094,0,0.9253067994102296,0.9086647114912456,0.9136573378669408,❌ Reject
0.8190478891902536,0.08604813105810712,1.0633384662654228,1,0.9142369208081116,0.9243430274044835,0.9213111954255719,❌ Reject
-0.08377820922806092,-0.33797817786855794,-0.29667475004735133,1,0.8231711178657569,0.8590210193680641,0.8482660489173719,❌ Reject
-0.38472024203416577,-0.05863276170699887,0.9033369114050964,1,0.8175598607057342,0.9231450867048432,0.8914695189051104,❌ Reject
-0.9866043076463754,-0.24783085234871574,-0.8566801920584937,1,0.7238523205835351,0.6650358393865128,0.6826807837456195,❌ Reject
0.21716382357804392,-0.7328457222888777,-0.6966786371981672,1,0.8246965432050825,0.7765645387260555,0.7910041400697635,❌ Reject
-0.08377820922806092,-0.41477034405212715,-1.01668174691882,0,0.8148606655089947,0.8421809794166513,0.8339848852443543,❌ Reject
-0.38472024203416577,-0.43702894299043255,-0.6966786371981672,1,0.7828477992983733,0.8508995935544487,0.830484055277626,❌ Reject
-0.08377820922806092,0.18273948465272302,-0.6966786371981672,1,0.853073216295306,0.8566704843306896,0.8555913039200744,❌ Reject
-0.38472024203416577,-0.2296789649063143,-0.6966786371981672,1,0.7982056822682867,0.8188348800777495,0.8126461207349106,❌ Reject
0.21716382357804392,0.14169462833709484,-0.6966786371981672,1,0.8743307246455293,0.8512838622921165,0.8581979209981403,❌ Reject
0.5181058563841487,-0.2678635913531251,0.26333069196379094,1,0.8791877226256766,0.9356249959793559,0.918693813973252,❌ Reject
0.8190478891902536,0.642513103447329,4.26336956347195,1,0.9377304629179191,0.9945500362370062,0.9775041642412801,❌ Reject
0.8190478891902536,-0.24783085234871574,0.26333069196379094,1,0.8996176468421697,0.9356249959793559,0.9248227912381999,❌ Reject
-0.08377820922806092,-0.44815824239280944,-1.01668174691882,1,0.8125962839278676,0.8421809794166513,0.8333055707700161,❌ Reject
-0.38472024203416577,0.186211826080154,2.6633540148686867,1,0.8405776575437273,0.9168480541368602,0.8939669351589203,❌ Reject
1.1199899219963585,0.9986506856589058,1.223340021125749,1,0.9516128677581215,0.9239950293908026,0.9322803809009982,❌ Reject
-0.6856622748402706,-0.20665244443972478,0.26333069196379094,1,0.7712021551215378,0.8407013331586484,0.8198515797475152,❌ Reject
0.21716382357804392,-0.23670155294633885,0.10332913710346456,1,0.857492688917236,0.8767405544704195,0.8709661948044645,❌ Reject
-0.08377820922806092,0.41992711446493,0.26333069196379094,1,0.869209779835876,0.8962917520234822,0.8881671603672003,❌ Reject
-0.6856622748402706,-0.3034773496277034,-0.5366770823378408,1,0.75908369434504,0.7589853759639239,0.7590148714782587,❌ Reject
1.7218739876085682,0.052660232717424836,-0.21667397261718815,1,0.948374766635104,0.9478117329598601,0.9479806430624332,❌ Reject
-0.08377820922806092,0.5312201088893538,0.26333069196379094,1,0.8747676225387234,0.9025598159172379,0.8942221579036835,❌ Reject
-0.08377820922806092,0.9541334879158465,1.0633384662654228,1,0.8963343713908126,0.9094055061419514,0.9054841657166097,❌ Reject
0.21716382357804392,0.45331501280561226,0.74333535654477,1,0.8930865347985517,0.9396845227746284,0.9257051263818054,❌ Reject
-2.4913144716769,-0.6930028301799623,-1.096682524348983,0,0.4405149423532404,0.3637757888723371,0.38679753491660807,⚠️ Review
-0.6856622748402706,-0.16992575626497433,-0.5366770823378408,1,0.7698420128736011,0.771869135637095,0.7712609988080468,❌ Reject
0.5181058563841487,0.4421857134032353,1.223340021125749,1,0.9114459036015813,0.936307119887885,0.9288487550019938,❌ Reject
0.8190478891902536,1.3881761663447163,2.6633540148686867,1,0.9524557087304887,0.8251301081720602,0.8633277883395887,❌ Reject
-0.38472024203416577,-0.32573594843245723,-0.6966786371981672,1,0.7911939354552087,0.822979169859702,0.8134435995383539,❌ Reject
-0.08377820922806092,-0.02524486336631658,1.0633384662654228,1,0.8479904058965907,0.916781218213142,0.8961439745181765,❌ Reject
0.5181058563841487,1.1989780757029993,1.0633384662654228,1,0.9349426453531423,0.9129823848119674,0.9195704629743198,❌ Reject
1.4209319548024633,0.24742297299355426,2.6633540148686867,1,0.9471238311611839,0.9196586186999275,0.9278981824383044,❌ Reject
-0.6856622748402706,0.3086341200405063,0.26333069196379094,1,0.8093317219300968,0.8542220989870029,0.840754985869931,❌ Reject
-0.6856622748402706,-0.10047892771635517,-0.9366809694886568,1,0.7731931610338092,0.7546476804724296,0.7602113246408434,❌ Reject
0.5181058563841487,0.34202201838118856,-0.21667397261718815,1,0.9040602004689228,0.8968482415474689,0.899011829223905,❌ Reject
-0.6856622748402706,-0.20696406477972062,-0.8566801920584937,1,0.7651628806628611,0.7781223753859106,0.7742345269689956,❌ Reject
0.5181058563841487,0.5868666061683414,1.5433431308464018,1,0.9172689286881869,0.936307119887885,0.9305956625279754,❌ Reject
-0.38472024203416577,-0.29234805009177495,0.26333069196379094,1,0.7983521675794762,0.9360761073977694,0.8947589254522814,❌ Reject
-0.08377820922806092,-0.11637156732651995,1.0633384662654228,1,0.8426596123424982,0.9290668973319914,0.9031447118351434,❌ Reject
0.5181058563841487,0.4755736117439176,-1.01668174691882,0,0.9071065211469787,0.950282057854423,0.9373293968421896,❌ Reject
0.5181058563841487,-0.12540855838836343,-0.056672417756861805,1,0.884816218919688,0.8909068554381915,0.8890796644826404,❌ Reject
-0.6856622748402706,-0.38138244571144486,-0.21667397261718815,1,0.754443709449086,0.7572581177293493,0.7564137952452702,❌ Reject
0.21716382357804392,0.25298762276151854,2.6633540148686867,1,0.8900184501665328,0.9368204969936901,0.9227798829455428,❌ Reject
-0.38472024203416577,0.20067991531659904,-1.01668174691882,1,0.8260703132173641,0.9053805295469813,0.8815874646480961,❌ Reject
-1.2875463404524803,-0.22891104324447858,2.423351682578197,0,0.7051143569854131,0.2887903013500157,0.4136875180406349,⚠️ Review
-0.9866043076463754,0.25298762276151854,-0.37667552747751454,1,0.7689186314378165,0.7369269962176234,0.7465244867836812,❌ Reject
-0.08377820922806092,-0.32573594843245723,-0.5366770823378408,1,0.8229147952385708,0.8264026622581698,0.8253563021522901,❌ Reject
-0.38472024203416577,-0.12540855838836343,1.0633384662654228,1,0.8137932402999913,0.932971766676734,0.8972182087637111,❌ Reject
-0.9866043076463754,-0.633794957167003,-1.1766833017791463,1,0.6859610820361608,0.7851229929916947,0.7553744197050345,❌ Reject
-1.2875463404524803,-0.11067336596519291,-0.8566801920584937,1,0.6954582052923105,0.6305655443767599,0.6500333426514251,❌ Reject
-1.588488373258585,-0.38138244571144486,-1.1766833017791463,1,0.6214543547024997,0.6955664557916028,0.6733328254648718,❌ Reject
0.21716382357804392,-0.38806002537958134,0.10332913710346456,1,0.8490148086925896,0.8659881170563698,0.8608961245472357,❌ Reject
-0.6856622748402706,-0.14766715732666888,0.26333069196379094,1,0.7758257554878638,0.857085970352986,0.8327079058934492,❌ Reject
1.1199899219963585,-0.3591238467731395,-0.8928405434569273,1,0.9095028006102377,0.8849654923664555,0.8923266848395901,❌ Reject
-0.38472024203416577,0.36428061718594235,-0.616677859768004,1,0.8379826168506621,0.8715029411870361,0.8614468438861238,❌ Reject
0.21716382357804392,0.052660232717424836,-0.6966786371981672,1,0.8698878042286657,0.8593613751321265,0.8625193038610881,❌ Reject
-0.08377820922806092,-0.03892277243106668,-0.9366809694886568,0,0.839227543716601,0.8374046568317696,0.837951522897219,❌ Reject
-0.38472024203416577,-0.11427925898598659,-0.6966786371981672,0,0.8063947819125213,0.8478656573343006,0.8354243947077667,❌ Reject
-2.190372438870795,0.39766851552662463,-0.9846814359467547,1,0.6110146160671934,0.6154402454193559,0.6141125566137071,❌ Reject
1.1199899219963585,0.11498430966454902,-0.44067614942164507,1,0.9264470872143025,0.8864129219661424,0.8984231715405904,❌ Reject
0.5181058563841487,-0.7486493274589501,-0.5686773933099062,0,0.8512634680314198,0.7529993230541634,0.7824785665473403,❌ Reject
0.8190478891902536,0.25298762276151854,2.2633501277178705,1,0.9225411762129464,0.9061774731614807,0.9110865840769202,❌ Reject
-0.6856622748402706,-0.6068843111044131,-0.6966786371981672,1,0.7324482413058596,0.8059585428179722,0.7839054523643384,❌ Reject
1.4209319548024633,0.5868666061683414,2.6633540148686867,1,0.9542336394926758,0.9205703721471883,0.9306693523508345,❌ Reject
-1.2875463404524803,-0.192184355069728,-0.6966786371981672,0,0.6887144438875622,0.6444905127632559,0.6577576921005477,❌ Reject
-0.38472024203416577,-0.3146066490300803,-0.6966786371981672,0,0.7920154261290512,0.822979169859702,0.8136900467405066,❌ Reject
1.1199899219963585,-0.06976206124292747,1.8633462405670544,1,0.9255437449273423,0.9513051108917185,0.9435767011024055,❌ Reject
-0.38472024203416577,-0.3591238467731395,0.26333069196379094,1,0.7934992570070709,0.9256297134353082,0.885990576506837,❌ Reject
-0.6856622748402706,-0.02524486336631658,-0.616677859768004,1,0.7806988239245186,0.8109559314302155,0.8018787991785064,❌ Reject
-0.6856622748402706,-0.3034773496277034,-0.6966786371981672,1,0.7582001982863453,0.8229146155292073,0.8035002903563486,❌ Reject
0.21716382357804392,0.08604813105810712,-0.6966786371981672,1,0.8715693473738436,0.8593613751321265,0.8630237668046415,❌ Reject
-0.38472024203416577,0.19734112548253083,-0.7766794146283305,1,0.826894016509776,0.865568959054657,0.8539664762911927,❌ Reject
-1.2875463404524803,-0.5038047396717972,-0.5366770823378408,1,0.6591499491379822,0.5399511906499979,0.5757108181963931,⚠️ Review
0.21716382357804392,-0.44815824239280944,-0.7766794146283305,1,0.8420374103177525,0.8376591364882295,0.8389726186370863,❌ Reject
2.022816020414673,0.6981596005927653,-0.9686812804607221,1,0.9669506496106164,0.9824159672861038,0.9777763719834576,❌ Reject
-0.08377820922806092,-0.02524486336631658,-0.21667397261718815,0,0.8429475459510412,0.8627210112124245,0.8567889716340094,❌ Reject
0.21716382357804392,-0.05468186044786871,-0.6966786371981672,1,0.8643544290493723,0.853730641666314,0.8569177778812314,❌ Reject
-0.08377820922806092,1.2323659740436816,1.8633462405670544,1,0.9093531181893589,0.9408441758297897,0.9313968585376604,❌ Reject
0.5181058563841487,-0.40364104464975026,1.0633384662654228,1,0.8752429416810971,0.7736779430031313,0.8041474426065209,❌ Reject
-0.6856622748402706,-0.5483219374148564,-1.01668174691882,1,0.7356796279352082,0.7299242420897395,0.73165085784338,❌ Reject
-0.6856622748402706,0.052660232717424836,-0.6966786371981672,1,0.7862031689275633,0.8509716731309164,0.8315411218699104,❌ Reject
1.7218739876085682,-0.24783085234871574,0.26333069196379094,1,0.9421745444550661,0.9375168271404151,0.9389141423348104,❌ Reject
0.5181058563841487,-0.7486493274589501,-0.6966786371981672,0,0.8507740649435531,0.781481006573842,0.8022689240847554,❌ Reject
-1.88943040606469,0.2418583233591417,-0.8675602977889958,0,0.642137600387006,0.5755562074577114,0.5955306253364998,⚠️ Review
0.5181058563841487,1.2546245729819872,0.26333069196379094,1,0.9349896596317876,0.8958368684587924,0.9075827058106909,❌ Reject
-0.08377820922806092,-0.0808913606453043,1.0633384662654228,0,0.8447530128029479,0.918199635145881,0.8961656484430011,❌ Reject
-0.38472024203416577,-0.09202066004768115,1.0633384662654228,1,0.8160464332026661,0.9243435218400863,0.8918543952488602,❌ Reject
-0.6856622748402706,-0.3925117451138218,-1.01668174691882,0,0.7490118759503438,0.7914608842451565,0.7787261817567127,❌ Reject
-0.38472024203416577,-0.12109039024748579,0.26333069196379094,1,0.8104067508063699,0.9160812464124445,0.8843788977306221,❌ Reject
0.5181058563841487,-0.37025314630906797,-0.6966786371981672,0,0.871018732485892,0.8302193724928951,0.8424591804907942,❌ Reject
-0.6856622748402706,-0.7486493274589501,0.9033369114050964,1,0.7294627878128288,0.5468615832107224,0.6016419445913543,❌ Reject
-0.38472024203416577,0.03040163377911939,-1.01668174691882,1,0.8148501501117643,0.8780161996560978,0.8590663847927977,❌ Reject
-0.6856622748402706,-0.12540855838836343,-0.8566801920584937,1,0.7716564432287183,0.8128345859311135,0.8004811431203949,❌ Reject
0.21716382357804392,-0.3479945473707626,-0.6966786371981672,1,0.8482185197346493,0.8177924738399159,0.8269202876083359,❌ Reject
0.8190478891902536,-0.40364104464975026,-0.6966786371981672,0,0.8903495373382635,0.8419263098028652,0.8564532780634846,❌ Reject
-2.4913144716769,-0.192184355069728,-0.8566801920584937,1,0.49806339793812004,0.3871138565979095,0.4203987189999726,⚠️ Review
-0.38472024203416577,0.19734112548253083,0.8073359784889006,1,0.8336252237917472,0.9128846401700292,0.8891068152565447,❌ Reject
0.21716382357804392,-0.1488913803103445,-1.01668174691882,1,0.8581652223055346,0.8762436150783435,0.8708200972465008,❌ Reject
0.21716382357804392,0.275246221699824,1.0633384662654228,1,0.8862139076388125,0.9350148883849071,0.9203745941610787,❌ Reject
0.8190478891902536,-0.41477034405212715,-1.01668174691882,1,0.8889130788111084,0.8675914050736606,0.8739879071948948,❌ Reject
0.5181058563841487,-0.13653785792429204,-0.37667552747751454,1,0.8833167718620903,0.8878235945002425,0.8864715477087968,❌ Reject
0.5181058563841487,0.06378953211980168,1.0633384662654228,1,0.896347323626868,0.9243430274044835,0.9159443162711989,❌ Reject
1.1199899219963585,-0.3201490401546336,0.26333069196379094,1,0.913716692364747,0.9347164624441165,0.9284165314203057,❌ Reject
0.21716382357804392,0.08604813105810712,-0.6966786371981672,1,0.8715693473738436,0.8593613751321265,0.8630237668046415,❌ Reject
0.5181058563841487,-0.526063338476551,-1.1766833017791463,1,0.8612611792124555,0.9068424389185981,0.8931680610067553,❌ Reject
1.4209319548024633,-0.44237100672494173,0.5833338016844436,1,0.9251248356878709,0.785686059685298,0.8275176924860699,❌ Reject
0.5181058563841487,0.3086341200405063,1.0633384662654228,1,0.9060929663942995,0.9374584638139609,0.9280488145880623,❌ Reject
-0.6856622748402706,-0.7486493274589501,-0.5366770823378408,1,0.7208079412810107,0.6407719397190305,0.6647827401876245,❌ Reject
1.7218739876085682,-0.16992575626497433,0.9033369114050964,1,0.9450554990574148,0.9226731786449407,0.9293878747686829,❌ Reject
-2.4913144716769,-0.35511729897225763,-0.9285208901907801,0,0.47930774290582717,0.37257173885412886,0.40459254006963835,⚠️ Review
-2.7922565044830043,-0.3591238467731395,-1.1766833017791463,0,0.42767287854286007,0.46685452205403705,0.4551000290006839,⚠️ Review
-0.38472024203416577,-0.3479945473707626,0.26333069196379094,1,0.7943140358516234,0.9256297134353082,0.8862350101602028,❌ Reject
-0.38472024203416577,-0.10314995958360976,0.26333069196379094,1,0.8116370609507801,0.9119848934838829,0.8818805437239521,❌ Reject
0.8190478891902536,-0.6373563330345263,0.6633345791146068,1,0.8839885499216541,0.7166944071753817,0.7668826499992634,❌ Reject
-0.08377820922806092,-0.19281872513820097,0.03932851515933401,1,0.8338364973514046,0.9045617675334588,0.8833441864788425,❌ Reject
0.8190478891902536,-0.38138244571144486,-0.5366770823378408,1,0.8917846071914928,0.8771308205004098,0.8815269565077346,❌ Reject
-0.6856622748402706,0.19734112548253083,-0.37667552747751454,1,0.798440512436622,0.8456673757843266,0.8314993167800152,❌ Reject
-0.6856622748402706,-0.192184355069728,-0.6966786371981672,1,0.7672119576007881,0.8395282786672084,0.8178333823472823,❌ Reject
-0.38472024203416577,-0.3034773496277034,-0.8566801920584937,1,0.7920408985098781,0.8302976064008224,0.8188205940335391,❌ Reject
